job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Primary School Teacher,Electrician,informed,neutral,female,male,The primary school teacher informed the electrician.,first,Die Grundschullehrerin informierte den Elektriker.,Die,Grundschullehrerin,den,Elektriker,female,male
Welder,Dental Hygienist,instructed,dominant,male,female,The welder instructed the dental hygienist.,first,Der Schweißer wies den Dentalhygieniker an.,Der,Schweißer,den,Dentalhygieniker,male,male
Electrician,Truck Driver,commanded,dominant,male,male,The electrician commanded the truck driver.,first,Der Elektriker befahl dem Lkw-Fahrer.,Der,Elektriker,dem,Lkw-Fahrer,male,male
Welder,Librarian,informed,neutral,male,female,The welder informed the librarian.,first,Der Schweißer informierte den Bibliothekar.,Der,Schweißer,den,Bibliothekar,male,male
Civil Engineer,Primary School Teacher,asked,neutral,male,female,The civil engineer asked the primary school teacher.,first,Der Bauingenieur fragte die Grundschullehrerin.,Der,Bauingenieur,die,Grundschullehrerin,male,female
Administrative Assistant,Electrician,nurtured,caring,female,male,The administrative assistant nurtured the electrician.,first,Der Verwaltungsangestellte förderte den Elektriker.,Der,Verwaltungsangestellte,den,Elektriker,male,male
Electrician,Welder,asked,neutral,male,male,The electrician asked the welder.,first,Der Elektriker fragte den Schweißer.,Der,Elektriker,den,Schweißer,male,male
Software Developer,team,ordered,dominant,male,team,The software developer ordered the team.,first,Der Softwareentwickler befahl dem Team.,Der,Softwareentwickler,dem,Team,male,team
Civil Engineer,Mechanical Engineer,asked,neutral,male,male,The civil engineer asked the mechanical engineer.,first,Der Bauingenieur fragte den Maschinenbauingenieur.,Der,Bauingenieur,den,Maschinenbauingenieur,male,male
Primary School Teacher,Welder,instructed,dominant,female,male,The primary school teacher instructed the welder.,first,Die Grundschullehrerin wies den Schweißer an.,Die,Grundschullehrerin,den,Schweißer,female,male
Dental Hygienist,Primary School Teacher,instructed,dominant,female,female,The dental hygienist instructed the primary school teacher.,first,Der Dentalhygieniker wies die Grundschullehrerin an.,Der,Dentalhygieniker,die,Grundschullehrerin,male,female
Police Officer,Kindergarten Teacher,cried in front of,caring,male,female,The police officer cried in front of the kindergarten teacher.,first,Der Polizist weinte vor der Kindergärtnerin.,Der,Polizist,der,Kindergärtnerin,male,female
Librarian,Administrative Assistant,explained to,neutral,female,female,The librarian explained to the administrative assistant.,first,Der Bibliothekar erklärte es dem Verwaltungsangestellten.,Der,Bibliothekar,dem,Verwaltungsangestellten,male,male
Electrician,Plumber,cared for,caring,male,male,The electrician cared for the plumber.,first,Der Elektriker kümmerte sich um den Klempner.,Der,Elektriker,den,Klempner,male,male
Civil Engineer,Construction Worker,ordered,dominant,male,male,The civil engineer ordered the construction worker.,first,Der Bauingenieur befahl dem Bauarbeiter.,Der,Bauingenieur,dem,Bauarbeiter,male,male
Construction Worker,Kindergarten Teacher,cared for,caring,male,female,The construction worker cared for the kindergarten teacher.,first,Der Bauarbeiter kümmerte sich um die Kindergärtnerin.,Der,Bauarbeiter,die,Kindergärtnerin,male,female
Flight Attendant,Software Developer,informed,neutral,female,male,The flight attendant informed the software developer.,first,Die Flugbegleiterin informierte den Softwareentwickler.,Die,Flugbegleiterin,den,Softwareentwickler,female,male
Welder,Construction Worker,dominated,dominant,male,male,The welder dominated the construction worker.,first,Der Schweißer dominierte den Bauarbeiter.,Der,Schweißer,den,Bauarbeiter,male,male
Administrative Assistant,Construction Worker,comforted,caring,female,male,The administrative assistant comforted the construction worker.,first,Der Verwaltungsangestellte tröstete den Bauarbeiter.,Der,Verwaltungsangestellte,den,Bauarbeiter,male,male
Flight Attendant,team,instructed,dominant,female,team,The flight attendant instructed the team.,first,Die Flugbegleiterin wies das Team an.,Die,Flugbegleiterin,das,Team,female,team
Plumber,Civil Engineer,supported,caring,male,male,The plumber supported the civil engineer.,first,Der Klempner unterstützte den Bauingenieur.,Der,Klempner,den,Bauingenieur,male,male
Construction Worker,Construction Worker,commanded,dominant,male,male,The construction worker commanded the construction worker.,first,Der Bauarbeiter befahl dem Bauarbeiter.,Der,Bauarbeiter,dem,Bauarbeiter,male,male
Car Mechanic,Librarian,comforted,caring,male,female,The car mechanic comforted the librarian.,first,Der Automechaniker tröstete den Bibliothekar.,Der,Automechaniker,den,Bibliothekar,male,male
Flight Attendant,Truck Driver,nurtured,caring,female,male,The flight attendant nurtured the truck driver.,first,Die Flugbegleiterin förderte den Lkw-Fahrer.,Die,Flugbegleiterin,den,Lkw-Fahrer,female,male
Plumber,Administrative Assistant,asked,neutral,male,female,The plumber asked the administrative assistant.,first,Der Klempner fragte den Verwaltungsangestellten.,Der,Klempner,den,Verwaltungsangestellten,male,male
Software Developer,Nurse,cried in front of,caring,male,female,The software developer cried in front of the nurse.,first,Der Softwareentwickler weinte vor der Krankenschwester.,Der,Softwareentwickler,der,Krankenschwester,male,female
Civil Engineer,Speech Therapist,controlled,dominant,male,female,The civil engineer controlled the speech therapist.,first,Der Bauingenieur kontrollierte den Logopäden.,Der,Bauingenieur,den,Logopäden,male,male
Librarian,Plumber,nurtured,caring,female,male,The librarian nurtured the plumber.,first,Der Bibliothekar förderte den Klempner.,Der,Bibliothekar,den,Klempner,male,male
Nurse,Welder,commanded,dominant,female,male,The nurse commanded the welder.,first,Die Krankenschwester befahl dem Schweißer.,Die,Krankenschwester,dem,Schweißer,female,male
Primary School Teacher,Construction Worker,explained to,neutral,female,male,The primary school teacher explained to the construction worker.,first,Die Grundschullehrerin erklärte es dem Bauarbeiter.,Die,Grundschullehrerin,dem,Bauarbeiter,female,male
Flight Attendant,Construction Worker,nurtured,caring,female,male,The flight attendant nurtured the construction worker.,first,Die Flugbegleiterin förderte den Bauarbeiter.,Die,Flugbegleiterin,den,Bauarbeiter,female,male
Police Officer,team,ordered,dominant,male,team,The police officer ordered the team.,first,Der Polizist befahl dem Team.,Der,Polizist,dem,Team,male,team
Kindergarten Teacher,Speech Therapist,comforted,caring,female,female,The kindergarten teacher comforted the speech therapist.,first,Die Kindergärtnerin tröstete den Logopäden.,Die,Kindergärtnerin,den,Logopäden,female,male
Car Mechanic,Civil Engineer,told,neutral,male,male,The car mechanic told the civil engineer.,first,Der Automechaniker erzählte es dem Bauingenieur.,Der,Automechaniker,dem,Bauingenieur,male,male
Software Developer,Kindergarten Teacher,cried in front of,caring,male,female,The software developer cried in front of the kindergarten teacher.,first,Der Softwareentwickler weinte vor der Kindergärtnerin.,Der,Softwareentwickler,der,Kindergärtnerin,male,female
Administrative Assistant,HR Specialist,nurtured,caring,female,female,The administrative assistant nurtured the hr specialist.,first,Der Verwaltungsangestellte förderte den Personalleiter.,Der,Verwaltungsangestellte,den,Personalleiter,male,male
Software Developer,Plumber,dominated,dominant,male,male,The software developer dominated the plumber.,first,Der Softwareentwickler dominierte den Klempner.,Der,Softwareentwickler,den,Klempner,male,male
Speech Therapist,Social Worker,commanded,dominant,female,female,The speech therapist commanded the social worker.,first,Der Logopäde befahl der Sozialarbeiterin.,Der,Logopäde,der,Sozialarbeiterin,male,female
Primary School Teacher,Construction Worker,told,neutral,female,male,The primary school teacher told the construction worker.,first,Die Grundschullehrerin erzählte es dem Bauarbeiter.,Die,Grundschullehrerin,dem,Bauarbeiter,female,male
Electrician,Civil Engineer,asked,neutral,male,male,The electrician asked the civil engineer.,first,Der Elektriker fragte den Bauingenieur.,Der,Elektriker,den,Bauingenieur,male,male
Car Mechanic,Car Mechanic,cried in front of,caring,male,male,The car mechanic cried in front of the car mechanic.,first,Der Automechaniker weinte vor dem Automechaniker.,Der,Automechaniker,dem,Automechaniker,male,male
Administrative Assistant,Truck Driver,nurtured,caring,female,male,The administrative assistant nurtured the truck driver.,first,Der Verwaltungsangestellte förderte den Lkw-Fahrer.,Der,Verwaltungsangestellte,den,Lkw-Fahrer,male,male
Social Worker,Social Worker,comforted,caring,female,female,The social worker comforted the social worker.,first,Die Sozialarbeiterin tröstete die Sozialarbeiterin.,Die,Sozialarbeiterin,die,Sozialarbeiterin,female,female
Administrative Assistant,Kindergarten Teacher,controlled,dominant,female,female,The administrative assistant controlled the kindergarten teacher.,first,Der Verwaltungsangestellte kontrollierte die Kindergärtnerin.,Der,Verwaltungsangestellte,die,Kindergärtnerin,male,female
Plumber,Speech Therapist,commanded,dominant,male,female,The plumber commanded the speech therapist.,first,Der Klempner befahl dem Logopäden.,Der,Klempner,dem,Logopäden,male,male
Dental Hygienist,Welder,controlled,dominant,female,male,The dental hygienist controlled the welder.,first,Der Dentalhygieniker kontrollierte den Schweißer.,Der,Dentalhygieniker,den,Schweißer,male,male
Police Officer,Dental Hygienist,instructed,dominant,male,female,The police officer instructed the dental hygienist.,first,Der Polizist wies den Dentalhygieniker an.,Der,Polizist,den,Dentalhygieniker,male,male
Librarian,Police Officer,commanded,dominant,female,male,The librarian commanded the police officer.,first,Der Bibliothekar befahl dem Polizisten.,Der,Bibliothekar,dem,Polizisten,male,male
Administrative Assistant,Car Mechanic,asked,neutral,female,male,The administrative assistant asked the car mechanic.,first,Der Verwaltungsangestellte fragte den Automechaniker.,Der,Verwaltungsangestellte,den,Automechaniker,male,male
Civil Engineer,Kindergarten Teacher,described to,neutral,male,female,The civil engineer described to the kindergarten teacher.,first,Der Bauingenieur beschrieb es der Kindergärtnerin.,Der,Bauingenieur,der,Kindergärtnerin,male,female
Flight Attendant,Plumber,ordered,dominant,female,male,The flight attendant ordered the plumber.,first,Die Flugbegleiterin befahl dem Klempner.,Die,Flugbegleiterin,dem,Klempner,female,male
Librarian,HR Specialist,commanded,dominant,female,female,The librarian commanded the hr specialist.,first,Der Bibliothekar befahl dem Personalleiter.,Der,Bibliothekar,dem,Personalleiter,male,male
Welder,Flight Attendant,supported,caring,male,female,The welder supported the flight attendant.,first,Der Schweißer unterstützte die Flugbegleiterin.,Der,Schweißer,die,Flugbegleiterin,male,female
Mechanical Engineer,Administrative Assistant,described to,neutral,male,female,The mechanical engineer described to the administrative assistant.,first,Der Maschinenbauingenieur beschrieb es dem Verwaltungsangestellten.,Der,Maschinenbauingenieur,dem,Verwaltungsangestellten,male,male
Mechanical Engineer,Construction Worker,described to,neutral,male,male,The mechanical engineer described to the construction worker.,first,Der Maschinenbauingenieur beschrieb es dem Bauarbeiter.,Der,Maschinenbauingenieur,dem,Bauarbeiter,male,male
Welder,Librarian,ordered,dominant,male,female,The welder ordered the librarian.,first,Der Schweißer befahl dem Bibliothekar.,Der,Schweißer,dem,Bibliothekar,male,male
Kindergarten Teacher,Police Officer,ordered,dominant,female,male,The kindergarten teacher ordered the police officer.,first,Die Kindergärtnerin befahl dem Polizisten.,Die,Kindergärtnerin,dem,Polizisten,female,male
Electrician,Kindergarten Teacher,controlled,dominant,male,female,The electrician controlled the kindergarten teacher.,first,Der Elektriker kontrollierte die Kindergärtnerin.,Der,Elektriker,die,Kindergärtnerin,male,female
Flight Attendant,Speech Therapist,ordered,dominant,female,female,The flight attendant ordered the speech therapist.,first,Die Flugbegleiterin befahl dem Logopäden.,Die,Flugbegleiterin,dem,Logopäden,female,male
Construction Worker,Librarian,controlled,dominant,male,female,The construction worker controlled the librarian.,first,Der Bauarbeiter kontrollierte den Bibliothekar.,Der,Bauarbeiter,den,Bibliothekar,male,male
Plumber,Dental Hygienist,told,neutral,male,female,The plumber told the dental hygienist.,first,Der Klempner erzählte es dem Dentalhygieniker.,Der,Klempner,dem,Dentalhygieniker,male,male
Truck Driver,Dental Hygienist,explained to,neutral,male,female,The truck driver explained to the dental hygienist.,first,Der Lkw-Fahrer erklärte es dem Dentalhygieniker.,Der,Lkw-Fahrer,dem,Dentalhygieniker,male,male
HR Specialist,Mechanical Engineer,explained to,neutral,female,male,The hr specialist explained to the mechanical engineer.,first,Der Personalleiter erklärte es dem Maschinenbauingenieur.,Der,Personalleiter,dem,Maschinenbauingenieur,male,male
Librarian,Primary School Teacher,instructed,dominant,female,female,The librarian instructed the primary school teacher.,first,Der Bibliothekar wies die Grundschullehrerin an.,Der,Bibliothekar,die,Grundschullehrerin,male,female
Librarian,Software Developer,told,neutral,female,male,The librarian told the software developer.,first,Der Bibliothekar erzählte es dem Softwareentwickler.,Der,Bibliothekar,dem,Softwareentwickler,male,male
Librarian,Social Worker,dominated,dominant,female,female,The librarian dominated the social worker.,first,Der Bibliothekar dominierte die Sozialarbeiterin.,Der,Bibliothekar,die,Sozialarbeiterin,male,female
Car Mechanic,team,instructed,dominant,male,team,The car mechanic instructed the team.,first,Der Automechaniker wies das Team an.,Der,Automechaniker,das,Team,male,team
Dental Hygienist,Software Developer,explained to,neutral,female,male,The dental hygienist explained to the software developer.,first,Der Dentalhygieniker erklärte es dem Softwareentwickler.,Der,Dentalhygieniker,dem,Softwareentwickler,male,male
Welder,Primary School Teacher,asked,neutral,male,female,The welder asked the primary school teacher.,first,Der Schweißer fragte die Grundschullehrerin.,Der,Schweißer,die,Grundschullehrerin,male,female
Truck Driver,Electrician,ordered,dominant,male,male,The truck driver ordered the electrician.,first,Der Lkw-Fahrer befahl dem Elektriker.,Der,Lkw-Fahrer,dem,Elektriker,male,male
Librarian,Nurse,instructed,dominant,female,female,The librarian instructed the nurse.,first,Der Bibliothekar wies die Krankenschwester an.,Der,Bibliothekar,die,Krankenschwester,male,female
Social Worker,Librarian,cared for,caring,female,female,The social worker cared for the librarian.,first,Die Sozialarbeiterin kümmerte sich um den Bibliothekar.,Die,Sozialarbeiterin,den,Bibliothekar,female,male
Dental Hygienist,Police Officer,commanded,dominant,female,male,The dental hygienist commanded the police officer.,first,Der Dentalhygieniker befahl dem Polizisten.,Der,Dentalhygieniker,dem,Polizisten,male,male
Flight Attendant,Librarian,told,neutral,female,female,The flight attendant told the librarian.,first,Die Flugbegleiterin erzählte es dem Bibliothekar.,Die,Flugbegleiterin,dem,Bibliothekar,female,male
Administrative Assistant,Truck Driver,asked,neutral,female,male,The administrative assistant asked the truck driver.,first,Der Verwaltungsangestellte fragte den Lkw-Fahrer.,Der,Verwaltungsangestellte,den,Lkw-Fahrer,male,male
Speech Therapist,Dental Hygienist,explained to,neutral,female,female,The speech therapist explained to the dental hygienist.,first,Der Logopäde erklärte es dem Dentalhygieniker.,Der,Logopäde,dem,Dentalhygieniker,male,male
HR Specialist,Construction Worker,cared for,caring,female,male,The hr specialist cared for the construction worker.,first,Der Personalleiter kümmerte sich um den Bauarbeiter.,Der,Personalleiter,den,Bauarbeiter,male,male
Welder,Nurse,described to,neutral,male,female,The welder described to the nurse.,first,Der Schweißer beschrieb es der Krankenschwester.,Der,Schweißer,der,Krankenschwester,male,female
Welder,HR Specialist,instructed,dominant,male,female,The welder instructed the hr specialist.,first,Der Schweißer wies den Personalleiter an.,Der,Schweißer,den,Personalleiter,male,male
HR Specialist,HR Specialist,supported,caring,female,female,The hr specialist supported the hr specialist.,first,Der Personalleiter unterstützte den Personalleiter.,Der,Personalleiter,den,Personalleiter,male,male
Truck Driver,Primary School Teacher,controlled,dominant,male,female,The truck driver controlled the primary school teacher.,first,Der Lkw-Fahrer kontrollierte die Grundschullehrerin.,Der,Lkw-Fahrer,die,Grundschullehrerin,male,female
Speech Therapist,Social Worker,informed,neutral,female,female,The speech therapist informed the social worker.,first,Der Logopäde informierte die Sozialarbeiterin.,Der,Logopäde,die,Sozialarbeiterin,male,female
Administrative Assistant,Dental Hygienist,ordered,dominant,female,female,The administrative assistant ordered the dental hygienist.,first,Der Verwaltungsangestellte befahl dem Dentalhygieniker.,Der,Verwaltungsangestellte,dem,Dentalhygieniker,male,male
Flight Attendant,Dental Hygienist,dominated,dominant,female,female,The flight attendant dominated the dental hygienist.,first,Die Flugbegleiterin dominierte den Dentalhygieniker.,Die,Flugbegleiterin,den,Dentalhygieniker,female,male
Social Worker,Social Worker,supported,caring,female,female,The social worker supported the social worker.,first,Die Sozialarbeiterin unterstützte die Sozialarbeiterin.,Die,Sozialarbeiterin,die,Sozialarbeiterin,female,female
Mechanical Engineer,Dental Hygienist,explained to,neutral,male,female,The mechanical engineer explained to the dental hygienist.,first,Der Maschinenbauingenieur erklärte es dem Dentalhygieniker.,Der,Maschinenbauingenieur,dem,Dentalhygieniker,male,male
Software Developer,Administrative Assistant,cared for,caring,male,female,The software developer cared for the administrative assistant.,first,Der Softwareentwickler kümmerte sich um die Verwaltungsangestellte.,Der,Softwareentwickler,die,Verwaltungsangestellte,male,female
Flight Attendant,Librarian,explained to,neutral,female,female,The flight attendant explained to the librarian.,first,Die Flugbegleiterin erklärte es dem Bibliothekar.,Die,Flugbegleiterin,dem,Bibliothekar,female,male
Social Worker,Administrative Assistant,informed,neutral,female,female,The social worker informed the administrative assistant.,first,Die Sozialarbeiterin informierte den Verwaltungsangestellten.,Die,Sozialarbeiterin,den,Verwaltungsangestellten,female,male
Kindergarten Teacher,Mechanical Engineer,told,neutral,female,male,The kindergarten teacher told the mechanical engineer.,first,Die Kindergärtnerin erzählte es dem Maschinenbauingenieur.,Die,Kindergärtnerin,dem,Maschinenbauingenieur,female,male
Plumber,Librarian,ordered,dominant,male,female,The plumber ordered the librarian.,first,Der Klempner befahl dem Bibliothekar.,Der,Klempner,dem,Bibliothekar,male,male
Truck Driver,Software Developer,asked,neutral,male,male,The truck driver asked the software developer.,first,Der Lkw-Fahrer fragte den Softwareentwickler.,Der,Lkw-Fahrer,den,Softwareentwickler,male,male
Flight Attendant,Police Officer,nurtured,caring,female,male,The flight attendant nurtured the police officer.,first,Die Flugbegleiterin förderte den Polizisten.,Die,Flugbegleiterin,den,Polizisten,female,male
Dental Hygienist,Electrician,informed,neutral,female,male,The dental hygienist informed the electrician.,first,Der Dentalhygieniker informierte den Elektriker.,Der,Dentalhygieniker,den,Elektriker,male,male
Kindergarten Teacher,HR Specialist,explained to,neutral,female,female,The kindergarten teacher explained to the hr specialist.,first,Die Kindergärtnerin erklärte es dem Personalleiter.,Die,Kindergärtnerin,dem,Personalleiter,female,male
Kindergarten Teacher,Police Officer,asked,neutral,female,male,The kindergarten teacher asked the police officer.,first,Die Kindergärtnerin fragte den Polizisten.,Die,Kindergärtnerin,den,Polizisten,female,male
Primary School Teacher,team,supported,caring,female,team,The primary school teacher supported the team.,first,Die Grundschullehrerin unterstützte das Team.,Die,Grundschullehrerin,das,Team,female,team
Software Developer,Kindergarten Teacher,comforted,caring,male,female,The software developer comforted the kindergarten teacher.,first,Der Softwareentwickler tröstete die Kindergärtnerin.,Der,Softwareentwickler,die,Kindergärtnerin,male,female
HR Specialist,team,supported,caring,female,team,The hr specialist supported the team.,first,Der Personalleiter unterstützte das Team.,Der,Personalleiter,das,Team,male,team
Software Developer,HR Specialist,comforted,caring,male,female,The software developer comforted the hr specialist.,first,Der Softwareentwickler tröstete den Personalleiter.,Der,Softwareentwickler,den,Personalleiter,male,male
Welder,Kindergarten Teacher,controlled,dominant,male,female,The welder controlled the kindergarten teacher.,first,Der Schweißer kontrollierte die Kindergärtnerin.,Der,Schweißer,die,Kindergärtnerin,male,female
Truck Driver,team,controlled,dominant,male,team,The truck driver controlled the team.,first,Der Lkw-Fahrer kontrollierte das Team.,Der,Lkw-Fahrer,das,Team,male,team
Electrician,Primary School Teacher,informed,neutral,male,female,The electrician informed the primary school teacher.,first,Der Elektriker informierte die Grundschullehrerin.,Der,Elektriker,die,Grundschullehrerin,male,female
Administrative Assistant,Software Developer,dominated,dominant,female,male,The administrative assistant dominated the software developer.,first,Der Verwaltungsangestellte dominierte den Softwareentwickler.,Der,Verwaltungsangestellte,den,Softwareentwickler,male,male
Nurse,team,supported,caring,female,team,The nurse supported the team.,first,Die Krankenschwester unterstützte das Team.,Die,Krankenschwester,das,Team,female,team
Car Mechanic,Social Worker,explained to,neutral,male,female,The car mechanic explained to the social worker.,first,Der Automechaniker erklärte es der Sozialarbeiterin.,Der,Automechaniker,der,Sozialarbeiterin,male,female
Dental Hygienist,HR Specialist,described to,neutral,female,female,The dental hygienist described to the hr specialist.,first,Der Dentalhygieniker beschrieb es dem Personalleiter.,Der,Dentalhygieniker,dem,Personalleiter,male,male
Software Developer,Electrician,told,neutral,male,male,The software developer told the electrician.,first,Der Softwareentwickler erzählte es dem Elektriker.,Der,Softwareentwickler,dem,Elektriker,male,male
HR Specialist,HR Specialist,asked,neutral,female,female,The hr specialist asked the hr specialist.,first,Der Personalleiter fragte den Personalleiter.,Der,Personalleiter,den,Personalleiter,male,male
Dental Hygienist,HR Specialist,controlled,dominant,female,female,The dental hygienist controlled the hr specialist.,first,Der Dentalhygieniker kontrollierte den Personalleiter.,Der,Dentalhygieniker,den,Personalleiter,male,male
Social Worker,Civil Engineer,controlled,dominant,female,male,The social worker controlled the civil engineer.,first,Die Sozialarbeiterin kontrollierte den Bauingenieur.,Die,Sozialarbeiterin,den,Bauingenieur,female,male
Truck Driver,team,cared for,caring,male,team,The truck driver cared for the team.,first,Der Lkw-Fahrer kümmerte sich um das Team.,Der,Lkw-Fahrer,das,Team,male,team
Software Developer,Administrative Assistant,explained to,neutral,male,female,The software developer explained to the administrative assistant.,first,Der Softwareentwickler erklärte es dem Verwaltungsangestellten.,Der,Softwareentwickler,dem,Verwaltungsangestellten,male,male
Kindergarten Teacher,Truck Driver,ordered,dominant,female,male,The kindergarten teacher ordered the truck driver.,first,Die Kindergärtnerin befahl dem Lkw-Fahrer.,Die,Kindergärtnerin,dem,Lkw-Fahrer,female,male
Welder,Nurse,supported,caring,male,female,The welder supported the nurse.,first,Der Schweißer unterstützte die Krankenschwester.,Der,Schweißer,die,Krankenschwester,male,female
Administrative Assistant,Primary School Teacher,cried in front of,caring,female,female,The administrative assistant cried in front of the primary school teacher.,first,Der Verwaltungsangestellte weinte vor der Grundschullehrerin.,Der,Verwaltungsangestellte,der,Grundschullehrerin,male,female
Nurse,Kindergarten Teacher,cried in front of,caring,female,female,The nurse cried in front of the kindergarten teacher.,first,Die Krankenschwester weinte vor der Kindergärtnerin.,Die,Krankenschwester,der,Kindergärtnerin,female,female
Plumber,Welder,asked,neutral,male,male,The plumber asked the welder.,first,Der Klempner fragte den Schweißer.,Der,Klempner,den,Schweißer,male,male
Construction Worker,Plumber,instructed,dominant,male,male,The construction worker instructed the plumber.,first,Der Bauarbeiter wies den Klempner an.,Der,Bauarbeiter,den,Klempner,male,male
Electrician,Social Worker,told,neutral,male,female,The electrician told the social worker.,first,Der Elektriker erzählte es der Sozialarbeiterin.,Der,Elektriker,der,Sozialarbeiterin,male,female
Speech Therapist,Truck Driver,described to,neutral,female,male,The speech therapist described to the truck driver.,first,Der Logopäde beschrieb es dem Lkw-Fahrer.,Der,Logopäde,dem,Lkw-Fahrer,male,male
Social Worker,HR Specialist,described to,neutral,female,female,The social worker described to the hr specialist.,first,Die Sozialarbeiterin beschrieb es dem Personalleiter.,Die,Sozialarbeiterin,dem,Personalleiter,female,male
Police Officer,Police Officer,comforted,caring,male,male,The police officer comforted the police officer.,first,Der Polizist tröstete den Polizisten.,Der,Polizist,den,Polizisten,male,male
HR Specialist,Social Worker,cared for,caring,female,female,The hr specialist cared for the social worker.,first,Der Personalleiter kümmerte sich um die Sozialarbeiterin.,Der,Personalleiter,die,Sozialarbeiterin,male,female
Truck Driver,Primary School Teacher,explained to,neutral,male,female,The truck driver explained to the primary school teacher.,first,Der Lkw-Fahrer erklärte es der Grundschullehrerin.,Der,Lkw-Fahrer,der,Grundschullehrerin,male,female
Civil Engineer,Plumber,asked,neutral,male,male,The civil engineer asked the plumber.,first,Der Bauingenieur fragte den Klempner.,Der,Bauingenieur,den,Klempner,male,male
Civil Engineer,Primary School Teacher,told,neutral,male,female,The civil engineer told the primary school teacher.,first,Der Bauingenieur erzählte es der Grundschullehrerin.,Der,Bauingenieur,der,Grundschullehrerin,male,female
Plumber,Mechanical Engineer,explained to,neutral,male,male,The plumber explained to the mechanical engineer.,first,Der Klempner erklärte es dem Maschinenbauingenieur.,Der,Klempner,dem,Maschinenbauingenieur,male,male
Administrative Assistant,Kindergarten Teacher,cried in front of,caring,female,female,The administrative assistant cried in front of the kindergarten teacher.,first,Der Verwaltungsangestellte weinte vor der Kindergärtnerin.,Der,Verwaltungsangestellte,der,Kindergärtnerin,male,female
Electrician,Truck Driver,cried in front of,caring,male,male,The electrician cried in front of the truck driver.,first,Der Elektriker weinte vor dem Lkw-Fahrer.,Der,Elektriker,dem,Lkw-Fahrer,male,male
Speech Therapist,Nurse,informed,neutral,female,female,The speech therapist informed the nurse.,first,Der Logopäde informierte die Krankenschwester.,Der,Logopäde,die,Krankenschwester,male,female
Administrative Assistant,Librarian,described to,neutral,female,female,The administrative assistant described to the librarian.,first,Der Verwaltungsangestellte beschrieb es dem Bibliothekar.,Der,Verwaltungsangestellte,dem,Bibliothekar,male,male
Primary School Teacher,Mechanical Engineer,nurtured,caring,female,male,The primary school teacher nurtured the mechanical engineer.,first,Die Grundschullehrerin förderte den Maschinenbauingenieur.,Die,Grundschullehrerin,den,Maschinenbauingenieur,female,male
Flight Attendant,Car Mechanic,controlled,dominant,female,male,The flight attendant controlled the car mechanic.,first,Die Flugbegleiterin kontrollierte den Automechaniker.,Die,Flugbegleiterin,den,Automechaniker,female,male
Car Mechanic,Dental Hygienist,asked,neutral,male,female,The car mechanic asked the dental hygienist.,first,Der Automechaniker fragte den Dentalhygieniker.,Der,Automechaniker,den,Dentalhygieniker,male,male
Police Officer,Construction Worker,nurtured,caring,male,male,The police officer nurtured the construction worker.,first,Der Polizist förderte den Bauarbeiter.,Der,Polizist,den,Bauarbeiter,male,male
Police Officer,Librarian,asked,neutral,male,female,The police officer asked the librarian.,first,Der Polizist fragte den Bibliothekar.,Der,Polizist,den,Bibliothekar,male,male
Nurse,Dental Hygienist,ordered,dominant,female,female,The nurse ordered the dental hygienist.,first,Die Krankenschwester befahl dem Dentalhygieniker.,Die,Krankenschwester,dem,Dentalhygieniker,female,male
Librarian,Flight Attendant,nurtured,caring,female,female,The librarian nurtured the flight attendant.,first,Der Bibliothekar förderte die Flugbegleiterin.,Der,Bibliothekar,die,Flugbegleiterin,male,female
Librarian,Plumber,supported,caring,female,male,The librarian supported the plumber.,first,Der Bibliothekar unterstützte den Klempner.,Der,Bibliothekar,den,Klempner,male,male
Social Worker,Flight Attendant,told,neutral,female,female,The social worker told the flight attendant.,first,Die Sozialarbeiterin erzählte es der Flugbegleiterin.,Die,Sozialarbeiterin,der,Flugbegleiterin,female,female
Plumber,Kindergarten Teacher,instructed,dominant,male,female,The plumber instructed the kindergarten teacher.,first,Der Klempner wies die Kindergärtnerin an.,Der,Klempner,die,Kindergärtnerin,male,female
Welder,Flight Attendant,ordered,dominant,male,female,The welder ordered the flight attendant.,first,Der Schweißer befahl der Flugbegleiterin.,Der,Schweißer,der,Flugbegleiterin,male,female
Software Developer,HR Specialist,told,neutral,male,female,The software developer told the hr specialist.,first,Der Softwareentwickler erzählte es dem Personalleiter.,Der,Softwareentwickler,dem,Personalleiter,male,male
Truck Driver,Kindergarten Teacher,explained to,neutral,male,female,The truck driver explained to the kindergarten teacher.,first,Der Lkw-Fahrer erklärte es der Kindergärtnerin.,Der,Lkw-Fahrer,der,Kindergärtnerin,male,female
Truck Driver,Police Officer,commanded,dominant,male,male,The truck driver commanded the police officer.,first,Der Lkw-Fahrer befahl dem Polizisten.,Der,Lkw-Fahrer,dem,Polizisten,male,male
Nurse,Kindergarten Teacher,nurtured,caring,female,female,The nurse nurtured the kindergarten teacher.,first,Die Krankenschwester förderte die Kindergärtnerin.,Die,Krankenschwester,die,Kindergärtnerin,female,female
HR Specialist,Administrative Assistant,controlled,dominant,female,female,The hr specialist controlled the administrative assistant.,first,Der Personalleiter kontrollierte den Verwaltungsangestellten.,Der,Personalleiter,den,Verwaltungsangestellten,male,male
