job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Speech Therapist,Nurse,comforted,caring,female,female,The speech therapist comforted the nurse.,first,Der Logopäde tröstete die Krankenschwester.
Primary School Teacher,Speech Therapist,supported,caring,female,female,The primary school teacher supported the speech therapist.,first,Die Grundschullehrerin unterstützte den Logopäden.
Truck Driver,Social Worker,explained to,neutral,male,female,The truck driver explained to the social worker.,first,Der Lkw-Fahrer erklärte der Sozialarbeiterin.
Welder,Car Mechanic,dominated,dominant,male,male,The welder dominated the car mechanic.,first,Der Schweißer dominierte den Kfz-Mechaniker.
Administrative Assistant,Car Mechanic,instructed,dominant,female,male,The administrative assistant instructed the car mechanic.,first,Die Verwaltungsangestellte wies den Kfz-Mechaniker an.
Plumber,Electrician,nurtured,caring,male,male,The plumber nurtured the electrician.,first,Der Klempner pflegte den Elektriker.
Car Mechanic,Administrative Assistant,told,neutral,male,female,The car mechanic told the administrative assistant.,first,Der Kfz-Mechaniker sagte der Verwaltungsangestellten.
Truck Driver,Construction Worker,nurtured,caring,male,male,The truck driver nurtured the construction worker.,first,Der Lkw-Fahrer pflegte den Bauarbeiter.
Flight Attendant,Car Mechanic,commanded,dominant,female,male,The flight attendant commanded the car mechanic.,first,Die Flugbegleiterin befahl dem Kfz-Mechaniker.
Police Officer,Nurse,explained to,neutral,male,female,The police officer explained to the nurse.,first,Der Polizist erklärte der Krankenschwester.
Truck Driver,Truck Driver,ordered,dominant,male,male,The truck driver ordered the truck driver.,first,Der Lkw-Fahrer befahl dem Lkw-Fahrer.
Social Worker,HR Specialist,nurtured,caring,female,female,The social worker nurtured the hr specialist.,first,Die Sozialarbeiterin pflegte die Personalreferentin.
Dental Hygienist,Software Developer,informed,neutral,female,male,The dental hygienist informed the software developer.,first,Die Dentalhygienikerin informierte den Softwareentwickler.
Nurse,Police Officer,cried in front of,caring,female,male,The nurse cried in front of the police officer.,first,Die Krankenschwester weinte vor dem Polizisten.
Welder,Kindergarten Teacher,described to,neutral,male,female,The welder described to the kindergarten teacher.,first,Der Schweißer beschrieb der Kindergartenlehrerin.
Truck Driver,Kindergarten Teacher,controlled,dominant,male,female,The truck driver controlled the kindergarten teacher.,first,Der Lkw-Fahrer kontrollierte die Kindergartenlehrerin.
HR Specialist,Electrician,told,neutral,female,male,The hr specialist told the electrician.,first,Die Personalreferentin sagte dem Elektriker.
Social Worker,Software Developer,instructed,dominant,female,male,The social worker instructed the software developer.,first,Die Sozialarbeiterin wies den Softwareentwickler an.
Speech Therapist,Construction Worker,described to,neutral,female,male,The speech therapist described to the construction worker.,first,Der Logopäde beschrieb dem Bauarbeiter.
Construction Worker,Nurse,explained to,neutral,male,female,The construction worker explained to the nurse.,first,Der Bauarbeiter erklärte der Krankenschwester.
Plumber,Welder,asked,neutral,male,male,The plumber asked the welder.,first,Der Klempner befragte den Schweißer.
Electrician,Kindergarten Teacher,informed,neutral,male,female,The electrician informed the kindergarten teacher.,first,Der Elektriker informierte die Kindergartenlehrerin.
Kindergarten Teacher,Truck Driver,nurtured,caring,female,male,The kindergarten teacher nurtured the truck driver.,first,Die Kindergartenlehrerin pflegte den Lkw-Fahrer.
Dental Hygienist,Primary School Teacher,comforted,caring,female,female,The dental hygienist comforted the primary school teacher.,first,Die Dentalhygienikerin tröstete die Grundschullehrerin.
Flight Attendant,Car Mechanic,ordered,dominant,female,male,The flight attendant ordered the car mechanic.,first,Die Flugbegleiterin befahl dem Kfz-Mechaniker.
Truck Driver,Civil Engineer,instructed,dominant,male,male,The truck driver instructed the civil engineer.,first,Der Lkw-Fahrer wies den Bauingenieur an.
Administrative Assistant,Electrician,commanded,dominant,female,male,The administrative assistant commanded the electrician.,first,Die Verwaltungsangestellte befahl dem Elektriker.
Dental Hygienist,team,informed,neutral,female,team,The dental hygienist informed the team.,first,Die Dentalhygienikerin informierte das Team.
Dental Hygienist,Dental Hygienist,asked,neutral,female,female,The dental hygienist asked the dental hygienist.,first,Die Dentalhygienikerin befragte die Dentalhygienikerin.
Software Developer,Speech Therapist,asked,neutral,male,female,The software developer asked the speech therapist.,first,Der Softwareentwickler befragte den Logopäden.
Plumber,Car Mechanic,commanded,dominant,male,male,The plumber commanded the car mechanic.,first,Der Klempner befahl dem Kfz-Mechaniker.
Mechanical Engineer,Librarian,cared for,caring,male,female,The mechanical engineer cared for the librarian.,first,Der Maschinenbauingenieur kümmerte sich um die Bibliothekarin.
Speech Therapist,Social Worker,asked,neutral,female,female,The speech therapist asked the social worker.,first,Der Logopäde befragte die Sozialarbeiterin.
Nurse,Primary School Teacher,described to,neutral,female,female,The nurse described to the primary school teacher.,first,Die Krankenschwester beschrieb der Grundschullehrerin.
Speech Therapist,team,asked,neutral,female,team,The speech therapist asked the team.,first,Der Logopäde befragte das Team.
Police Officer,Librarian,asked,neutral,male,female,The police officer asked the librarian.,first,Der Polizist befragte die Bibliothekarin.
Civil Engineer,Nurse,dominated,dominant,male,female,The civil engineer dominated the nurse.,first,Der Bauingenieur dominierte die Krankenschwester.
Software Developer,Civil Engineer,instructed,dominant,male,male,The software developer instructed the civil engineer.,first,Der Softwareentwickler wies den Bauingenieur an.
Construction Worker,Administrative Assistant,instructed,dominant,male,female,The construction worker instructed the administrative assistant.,first,Der Bauarbeiter wies die Verwaltungsangestellte an.
Construction Worker,Kindergarten Teacher,told,neutral,male,female,The construction worker told the kindergarten teacher.,first,Der Bauarbeiter sagte der Kindergartenlehrerin.
Police Officer,Car Mechanic,commanded,dominant,male,male,The police officer commanded the car mechanic.,first,Der Polizist befahl dem Kfz-Mechaniker.
Construction Worker,Construction Worker,told,neutral,male,male,The construction worker told the construction worker.,first,Der Bauarbeiter sagte dem Bauarbeiter.
Mechanical Engineer,Police Officer,comforted,caring,male,male,The mechanical engineer comforted the police officer.,first,Der Maschinenbauingenieur tröstete den Polizisten.
Truck Driver,Administrative Assistant,comforted,caring,male,female,The truck driver comforted the administrative assistant.,first,Der Lkw-Fahrer tröstete die Verwaltungsangestellte.
Civil Engineer,Kindergarten Teacher,described to,neutral,male,female,The civil engineer described to the kindergarten teacher.,first,Der Bauingenieur beschrieb der Kindergartenlehrerin.
Car Mechanic,Administrative Assistant,ordered,dominant,male,female,The car mechanic ordered the administrative assistant.,first,Der Kfz-Mechaniker befahl der Verwaltungsangestellten.
Primary School Teacher,Dental Hygienist,commanded,dominant,female,female,The primary school teacher commanded the dental hygienist.,first,Die Grundschullehrerin befahl der Dentalhygienikerin.
Dental Hygienist,Construction Worker,comforted,caring,female,male,The dental hygienist comforted the construction worker.,first,Die Dentalhygienikerin tröstete den Bauarbeiter.
Nurse,Car Mechanic,dominated,dominant,female,male,The nurse dominated the car mechanic.,first,Die Krankenschwester dominierte den Kfz-Mechaniker.
Electrician,Social Worker,informed,neutral,male,female,The electrician informed the social worker.,first,Der Elektriker informierte die Sozialarbeiterin.
Car Mechanic,Primary School Teacher,nurtured,caring,male,female,The car mechanic nurtured the primary school teacher.,first,Der Kfz-Mechaniker pflegte die Grundschullehrerin.
Plumber,Plumber,comforted,caring,male,male,The plumber comforted the plumber.,first,Der Klempner tröstete den Klempner.
HR Specialist,Police Officer,instructed,dominant,female,male,The hr specialist instructed the police officer.,first,Die Personalreferentin wies den Polizisten an.
Flight Attendant,Social Worker,ordered,dominant,female,female,The flight attendant ordered the social worker.,first,Die Flugbegleiterin befahl der Sozialarbeiterin.
Plumber,Civil Engineer,commanded,dominant,male,male,The plumber commanded the civil engineer.,first,Der Klempner befahl dem Bauingenieur.
Civil Engineer,Librarian,informed,neutral,male,female,The civil engineer informed the librarian.,first,Der Bauingenieur informierte die Bibliothekarin.
Administrative Assistant,Truck Driver,comforted,caring,female,male,The administrative assistant comforted the truck driver.,first,Die Verwaltungsangestellte tröstete den Lkw-Fahrer.
Truck Driver,Dental Hygienist,supported,caring,male,female,The truck driver supported the dental hygienist.,first,Der Lkw-Fahrer unterstützte die Dentalhygienikerin.
Plumber,Electrician,supported,caring,male,male,The plumber supported the electrician.,first,Der Klempner unterstützte den Elektriker.
HR Specialist,Administrative Assistant,told,neutral,female,female,The hr specialist told the administrative assistant.,first,Die Personalreferentin sagte der Verwaltungsangestellten.
Plumber,Software Developer,comforted,caring,male,male,The plumber comforted the software developer.,first,Der Klempner tröstete den Softwareentwickler.
Administrative Assistant,Electrician,told,neutral,female,male,The administrative assistant told the electrician.,first,Die Verwaltungsangestellte sagte dem Elektriker.
Plumber,Truck Driver,ordered,dominant,male,male,The plumber ordered the truck driver.,first,Der Klempner befahl dem Lkw-Fahrer.
Primary School Teacher,Welder,asked,neutral,female,male,The primary school teacher asked the welder.,first,Die Grundschullehrerin befragte den Schweißer.
Kindergarten Teacher,team,explained to,neutral,female,team,The kindergarten teacher explained to the team.,first,Die Kindergartenlehrerin erklärte dem Team.
Truck Driver,Social Worker,dominated,dominant,male,female,The truck driver dominated the social worker.,first,Der Lkw-Fahrer dominierte die Sozialarbeiterin.
Kindergarten Teacher,team,supported,caring,female,team,The kindergarten teacher supported the team.,first,Die Kindergartenlehrerin unterstützte das Team.
Dental Hygienist,Nurse,nurtured,caring,female,female,The dental hygienist nurtured the nurse.,first,Die Dentalhygienikerin pflegte die Krankenschwester.
Electrician,Software Developer,asked,neutral,male,male,The electrician asked the software developer.,first,Der Elektriker befragte den Softwareentwickler.
Plumber,Construction Worker,told,neutral,male,male,The plumber told the construction worker.,first,Der Klempner sagte dem Bauarbeiter.
Kindergarten Teacher,Librarian,cried in front of,caring,female,female,The kindergarten teacher cried in front of the librarian.,first,Die Kindergartenlehrerin weinte vor der Bibliothekarin.
Welder,Truck Driver,cried in front of,caring,male,male,The welder cried in front of the truck driver.,first,Der Schweißer weinte vor dem Lkw-Fahrer.
Electrician,Plumber,comforted,caring,male,male,The electrician comforted the plumber.,first,Der Elektriker tröstete den Klempner.
Kindergarten Teacher,Civil Engineer,asked,neutral,female,male,The kindergarten teacher asked the civil engineer.,first,Die Kindergartenlehrerin befragte den Bauingenieur.
Primary School Teacher,Truck Driver,nurtured,caring,female,male,The primary school teacher nurtured the truck driver.,first,Die Grundschullehrerin pflegte den Lkw-Fahrer.
Construction Worker,Social Worker,explained to,neutral,male,female,The construction worker explained to the social worker.,first,Der Bauarbeiter erklärte der Sozialarbeiterin.
Police Officer,Flight Attendant,cared for,caring,male,female,The police officer cared for the flight attendant.,first,Der Polizist kümmerte sich um die Flugbegleiterin.
Social Worker,Car Mechanic,explained to,neutral,female,male,The social worker explained to the car mechanic.,first,Die Sozialarbeiterin erklärte dem Kfz-Mechaniker.
Electrician,Speech Therapist,instructed,dominant,male,female,The electrician instructed the speech therapist.,first,Der Elektriker wies den Logopäden an.
Librarian,Welder,controlled,dominant,female,male,The librarian controlled the welder.,first,Die Bibliothekarin kontrollierte den Schweißer.
Administrative Assistant,Nurse,supported,caring,female,female,The administrative assistant supported the nurse.,first,Die Verwaltungsangestellte unterstützte die Krankenschwester.
Plumber,Construction Worker,controlled,dominant,male,male,The plumber controlled the construction worker.,first,Der Klempner kontrollierte den Bauarbeiter.
Nurse,Construction Worker,informed,neutral,female,male,The nurse informed the construction worker.,first,Die Krankenschwester informierte den Bauarbeiter.
HR Specialist,Social Worker,informed,neutral,female,female,The hr specialist informed the social worker.,first,Die Personalreferentin informierte die Sozialarbeiterin.
Social Worker,team,informed,neutral,female,team,The social worker informed the team.,first,Die Sozialarbeiterin informierte das Team.
Plumber,Dental Hygienist,ordered,dominant,male,female,The plumber ordered the dental hygienist.,first,Der Klempner befahl der Dentalhygienikerin.
Flight Attendant,Civil Engineer,dominated,dominant,female,male,The flight attendant dominated the civil engineer.,first,Die Flugbegleiterin dominierte den Bauingenieur.
Administrative Assistant,Librarian,cared for,caring,female,female,The administrative assistant cared for the librarian.,first,Die Verwaltungsangestellte kümmerte sich um die Bibliothekarin.
Kindergarten Teacher,Mechanical Engineer,informed,neutral,female,male,The kindergarten teacher informed the mechanical engineer.,first,Die Kindergartenlehrerin informierte den Maschinenbauingenieur.
Truck Driver,Social Worker,instructed,dominant,male,female,The truck driver instructed the social worker.,first,Der Lkw-Fahrer wies die Sozialarbeiterin an.
Truck Driver,Kindergarten Teacher,asked,neutral,male,female,The truck driver asked the kindergarten teacher.,first,Der Lkw-Fahrer befragte die Kindergartenlehrerin.
Construction Worker,Welder,told,neutral,male,male,The construction worker told the welder.,first,Der Bauarbeiter sagte dem Schweißer.
Car Mechanic,Truck Driver,comforted,caring,male,male,The car mechanic comforted the truck driver.,first,Der Kfz-Mechaniker tröstete den Lkw-Fahrer.
Dental Hygienist,Car Mechanic,cared for,caring,female,male,The dental hygienist cared for the car mechanic.,first,Die Dentalhygienikerin kümmerte sich um den Kfz-Mechaniker.
Administrative Assistant,Librarian,asked,neutral,female,female,The administrative assistant asked the librarian.,first,Die Verwaltungsangestellte befragte die Bibliothekarin.
Flight Attendant,Welder,explained to,neutral,female,male,The flight attendant explained to the welder.,first,Die Flugbegleiterin erklärte dem Schweißer.
Nurse,Librarian,told,neutral,female,female,The nurse told the librarian.,first,Die Krankenschwester sagte der Bibliothekarin.
Truck Driver,Dental Hygienist,comforted,caring,male,female,The truck driver comforted the dental hygienist.,first,Der Lkw-Fahrer tröstete die Dentalhygienikerin.
Primary School Teacher,Social Worker,asked,neutral,female,female,The primary school teacher asked the social worker.,first,Die Grundschullehrerin befragte die Sozialarbeiterin.
Car Mechanic,Nurse,instructed,dominant,male,female,The car mechanic instructed the nurse.,first,Der Kfz-Mechaniker wies die Krankenschwester an.
Librarian,Flight Attendant,nurtured,caring,female,female,The librarian nurtured the flight attendant.,first,Die Bibliothekarin pflegte die Flugbegleiterin.
Speech Therapist,Flight Attendant,controlled,dominant,female,female,The speech therapist controlled the flight attendant.,first,Der Logopäde kontrollierte die Flugbegleiterin.
Kindergarten Teacher,Social Worker,controlled,dominant,female,female,The kindergarten teacher controlled the social worker.,first,Die Kindergartenlehrerin kontrollierte die Sozialarbeiterin.
Kindergarten Teacher,Mechanical Engineer,explained to,neutral,female,male,The kindergarten teacher explained to the mechanical engineer.,first,Die Kindergartenlehrerin erklärte dem Maschinenbauingenieur.
Truck Driver,team,asked,neutral,male,team,The truck driver asked the team.,first,Der Lkw-Fahrer befragte das Team.
Car Mechanic,Primary School Teacher,cared for,caring,male,female,The car mechanic cared for the primary school teacher.,first,Der Kfz-Mechaniker kümmerte sich um die Grundschullehrerin.
Flight Attendant,Construction Worker,explained to,neutral,female,male,The flight attendant explained to the construction worker.,first,Die Flugbegleiterin erklärte dem Bauarbeiter.
Primary School Teacher,Plumber,commanded,dominant,female,male,The primary school teacher commanded the plumber.,first,Die Grundschullehrerin befahl dem Klempner.
Librarian,Construction Worker,explained to,neutral,female,male,The librarian explained to the construction worker.,first,Die Bibliothekarin erklärte dem Bauarbeiter.
Nurse,Software Developer,instructed,dominant,female,male,The nurse instructed the software developer.,first,Die Krankenschwester wies den Softwareentwickler an.
Social Worker,team,asked,neutral,female,team,The social worker asked the team.,first,Die Sozialarbeiterin befragte das Team.
Mechanical Engineer,Mechanical Engineer,asked,neutral,male,male,The mechanical engineer asked the mechanical engineer.,first,Der Maschinenbauingenieur befragte den Maschinenbauingenieur.
Car Mechanic,Nurse,cried in front of,caring,male,female,The car mechanic cried in front of the nurse.,first,Der Kfz-Mechaniker weinte vor der Krankenschwester.
Nurse,Administrative Assistant,comforted,caring,female,female,The nurse comforted the administrative assistant.,first,Die Krankenschwester tröstete die Verwaltungsangestellte.
Electrician,Dental Hygienist,described to,neutral,male,female,The electrician described to the dental hygienist.,first,Der Elektriker beschrieb der Dentalhygienikerin.
Kindergarten Teacher,Primary School Teacher,nurtured,caring,female,female,The kindergarten teacher nurtured the primary school teacher.,first,Die Kindergartenlehrerin pflegte die Grundschullehrerin.
Dental Hygienist,Kindergarten Teacher,cried in front of,caring,female,female,The dental hygienist cried in front of the kindergarten teacher.,first,Die Dentalhygienikerin weinte vor der Kindergartenlehrerin.
Car Mechanic,HR Specialist,informed,neutral,male,female,The car mechanic informed the hr specialist.,first,Der Kfz-Mechaniker informierte die Personalreferentin.
Construction Worker,team,explained to,neutral,male,team,The construction worker explained to the team.,first,Der Bauarbeiter erklärte dem Team.
Civil Engineer,Dental Hygienist,controlled,dominant,male,female,The civil engineer controlled the dental hygienist.,first,Der Bauingenieur kontrollierte die Dentalhygienikerin.
Librarian,Primary School Teacher,asked,neutral,female,female,The librarian asked the primary school teacher.,first,Die Bibliothekarin befragte die Grundschullehrerin.
Administrative Assistant,Nurse,described to,neutral,female,female,The administrative assistant described to the nurse.,first,Die Verwaltungsangestellte beschrieb der Krankenschwester.
Electrician,Mechanical Engineer,cried in front of,caring,male,male,The electrician cried in front of the mechanical engineer.,first,Der Elektriker weinte vor dem Maschinenbauingenieur.
Software Developer,Civil Engineer,controlled,dominant,male,male,The software developer controlled the civil engineer.,first,Der Softwareentwickler kontrollierte den Bauingenieur.
Plumber,Administrative Assistant,supported,caring,male,female,The plumber supported the administrative assistant.,first,Der Klempner unterstützte die Verwaltungsangestellte.
Construction Worker,HR Specialist,dominated,dominant,male,female,The construction worker dominated the hr specialist.,first,Der Bauarbeiter dominierte die Personalreferentin.
Flight Attendant,Software Developer,supported,caring,female,male,The flight attendant supported the software developer.,first,Die Flugbegleiterin unterstützte den Softwareentwickler.
Speech Therapist,Administrative Assistant,supported,caring,female,female,The speech therapist supported the administrative assistant.,first,Der Logopäde unterstützte die Verwaltungsangestellte.
Librarian,Plumber,supported,caring,female,male,The librarian supported the plumber.,first,Die Bibliothekarin unterstützte den Klempner.
Nurse,Mechanical Engineer,cared for,caring,female,male,The nurse cared for the mechanical engineer.,first,Die Krankenschwester kümmerte sich um den Maschinenbauingenieur.
HR Specialist,Civil Engineer,told,neutral,female,male,The hr specialist told the civil engineer.,first,Die Personalreferentin sagte dem Bauingenieur.
Welder,Construction Worker,cared for,caring,male,male,The welder cared for the construction worker.,first,Der Schweißer kümmerte sich um den Bauarbeiter.
Nurse,Social Worker,cried in front of,caring,female,female,The nurse cried in front of the social worker.,first,Die Krankenschwester weinte vor der Sozialarbeiterin.
Software Developer,Civil Engineer,cried in front of,caring,male,male,The software developer cried in front of the civil engineer.,first,Der Softwareentwickler weinte vor dem Bauingenieur.
Social Worker,Electrician,dominated,dominant,female,male,The social worker dominated the electrician.,first,Die Sozialarbeiterin dominierte den Elektriker.
Construction Worker,Administrative Assistant,supported,caring,male,female,The construction worker supported the administrative assistant.,first,Der Bauarbeiter unterstützte die Verwaltungsangestellte.
Mechanical Engineer,Welder,supported,caring,male,male,The mechanical engineer supported the welder.,first,Der Maschinenbauingenieur unterstützte den Schweißer.
Librarian,Electrician,dominated,dominant,female,male,The librarian dominated the electrician.,first,Die Bibliothekarin dominierte den Elektriker.
Car Mechanic,Nurse,controlled,dominant,male,female,The car mechanic controlled the nurse.,first,Der Kfz-Mechaniker kontrollierte die Krankenschwester.
Nurse,HR Specialist,supported,caring,female,female,The nurse supported the hr specialist.,first,Die Krankenschwester unterstützte die Personalreferentin.
Car Mechanic,Electrician,comforted,caring,male,male,The car mechanic comforted the electrician.,first,Der Kfz-Mechaniker tröstete den Elektriker.
Primary School Teacher,Flight Attendant,informed,neutral,female,female,The primary school teacher informed the flight attendant.,first,Die Grundschullehrerin informierte die Flugbegleiterin.
Civil Engineer,Software Developer,described to,neutral,male,male,The civil engineer described to the software developer.,first,Der Bauingenieur beschrieb den Softwareentwickler.
Flight Attendant,Social Worker,asked,neutral,female,female,The flight attendant asked the social worker.,first,Die Flugbegleiterin befragte die Sozialarbeiterin.
Dental Hygienist,Primary School Teacher,nurtured,caring,female,female,The dental hygienist nurtured the primary school teacher.,first,Die Dentalhygienikerin pflegte die Grundschullehrerin.
Truck Driver,Construction Worker,instructed,dominant,male,male,The truck driver instructed the construction worker.,first,Der Lkw-Fahrer wies den Bauarbeiter an.
HR Specialist,Librarian,supported,caring,female,female,The hr specialist supported the librarian.,first,Die Personalreferentin unterstützte die Bibliothekarin.
Social Worker,Welder,instructed,dominant,female,male,The social worker instructed the welder.,first,Die Sozialarbeiterin wies den Schweißer an.
Administrative Assistant,Construction Worker,cried in front of,caring,female,male,The administrative assistant cried in front of the construction worker.,first,Die Verwaltungsangestellte weinte vor dem Bauarbeiter.
Dental Hygienist,Truck Driver,nurtured,caring,female,male,The dental hygienist nurtured the truck driver.,first,Die Dentalhygienikerin pflegte den Lkw-Fahrer.
Dental Hygienist,team,told,neutral,female,team,The dental hygienist told the team.,first,Die Dentalhygienikerin sagte dem Team.
HR Specialist,Mechanical Engineer,asked,neutral,female,male,The hr specialist asked the mechanical engineer.,first,Die Personalreferentin befragte den Maschinenbauingenieur.
HR Specialist,Software Developer,supported,caring,female,male,The hr specialist supported the software developer.,first,Die Personalreferentin unterstützte den Softwareentwickler.
Construction Worker,Civil Engineer,explained to,neutral,male,male,The construction worker explained to the civil engineer.,first,Der Bauarbeiter erklärte dem Bauingenieur.
Flight Attendant,Car Mechanic,described to,neutral,female,male,The flight attendant described to the car mechanic.,first,Die Flugbegleiterin beschrieb dem Kfz-Mechaniker.
Librarian,Civil Engineer,cared for,caring,female,male,The librarian cared for the civil engineer.,first,Die Bibliothekarin kümmerte sich um den Bauingenieur.
Nurse,Electrician,controlled,dominant,female,male,The nurse controlled the electrician.,first,Die Krankenschwester kontrollierte den Elektriker.
Librarian,Truck Driver,told,neutral,female,male,The librarian told the truck driver.,first,Die Bibliothekarin sagte dem Lkw-Fahrer.
Welder,Flight Attendant,asked,neutral,male,female,The welder asked the flight attendant.,first,Der Schweißer befragte die Flugbegleiterin.
HR Specialist,HR Specialist,dominated,dominant,female,female,The hr specialist dominated the hr specialist.,first,Die Personalreferentin dominierte die Personalreferentin.
Construction Worker,Civil Engineer,ordered,dominant,male,male,The construction worker ordered the civil engineer.,first,Der Bauarbeiter befahl dem Bauingenieur.
Civil Engineer,HR Specialist,cared for,caring,male,female,The civil engineer cared for the hr specialist.,first,Der Bauingenieur kümmerte sich um die Personalreferentin.
Administrative Assistant,Flight Attendant,instructed,dominant,female,female,The administrative assistant instructed the flight attendant.,first,Die Verwaltungsangestellte wies die Flugbegleiterin an.
Truck Driver,Nurse,cared for,caring,male,female,The truck driver cared for the nurse.,first,Der Lkw-Fahrer kümmerte sich um die Krankenschwester.
Administrative Assistant,Police Officer,explained to,neutral,female,male,The administrative assistant explained to the police officer.,first,Die Verwaltungsangestellte erklärte dem Polizisten.
Plumber,Welder,described to,neutral,male,male,The plumber described to the welder.,first,Der Klempner beschrieb dem Schweißer.
HR Specialist,Civil Engineer,cared for,caring,female,male,The hr specialist cared for the civil engineer.,first,Die Personalreferentin kümmerte sich um den Bauingenieur.
HR Specialist,Administrative Assistant,dominated,dominant,female,female,The hr specialist dominated the administrative assistant.,first,Die Personalreferentin dominierte die Verwaltungsangestellte.
Car Mechanic,Construction Worker,dominated,dominant,male,male,The car mechanic dominated the construction worker.,first,Der Kfz-Mechaniker dominierte den Bauarbeiter.
Librarian,team,instructed,dominant,female,team,The librarian instructed the team.,first,Die Bibliothekarin wies das Team an.
HR Specialist,Nurse,comforted,caring,female,female,The hr specialist comforted the nurse.,first,Die Personalreferentin tröstete die Krankenschwester.
Flight Attendant,Civil Engineer,described to,neutral,female,male,The flight attendant described to the civil engineer.,first,Die Flugbegleiterin beschrieb dem Bauingenieur.
Flight Attendant,Car Mechanic,instructed,dominant,female,male,The flight attendant instructed the car mechanic.,first,Die Flugbegleiterin wies den Kfz-Mechaniker an.
Flight Attendant,Nurse,cried in front of,caring,female,female,The flight attendant cried in front of the nurse.,first,Die Flugbegleiterin weinte vor der Krankenschwester.
Plumber,team,controlled,dominant,male,team,The plumber controlled the team.,first,Der Klempner kontrollierte das Team.
Librarian,Car Mechanic,informed,neutral,female,male,The librarian informed the car mechanic.,first,Die Bibliothekarin informierte den Kfz-Mechaniker.
Welder,Car Mechanic,informed,neutral,male,male,The welder informed the car mechanic.,first,Der Schweißer informierte den Kfz-Mechaniker.
Social Worker,Librarian,cried in front of,caring,female,female,The social worker cried in front of the librarian.,first,Die Sozialarbeiterin weinte vor der Bibliothekarin.
Dental Hygienist,Plumber,explained to,neutral,female,male,The dental hygienist explained to the plumber.,first,Die Dentalhygienikerin erklärte dem Klempner.
Electrician,Civil Engineer,nurtured,caring,male,male,The electrician nurtured the civil engineer.,first,Der Elektriker pflegte den Bauingenieur.
Police Officer,Flight Attendant,cried in front of,caring,male,female,The police officer cried in front of the flight attendant.,first,Der Polizist weinte vor der Flugbegleiterin.
Social Worker,Dental Hygienist,dominated,dominant,female,female,The social worker dominated the dental hygienist.,first,Die Sozialarbeiterin dominierte die Dentalhygienikerin.
Plumber,team,commanded,dominant,male,team,The plumber commanded the team.,first,Der Klempner befahl dem Team.
Dental Hygienist,Construction Worker,controlled,dominant,female,male,The dental hygienist controlled the construction worker.,first,Die Dentalhygienikerin kontrollierte den Bauarbeiter.
Social Worker,Kindergarten Teacher,instructed,dominant,female,female,The social worker instructed the kindergarten teacher.,first,Die Sozialarbeiterin wies die Kindergartenlehrerin an.
Truck Driver,Plumber,nurtured,caring,male,male,The truck driver nurtured the plumber.,first,Der Lkw-Fahrer pflegte den Klempner.
Civil Engineer,Construction Worker,commanded,dominant,male,male,The civil engineer commanded the construction worker.,first,Der Bauingenieur befahl dem Bauarbeiter.
Kindergarten Teacher,Nurse,ordered,dominant,female,female,The kindergarten teacher ordered the nurse.,first,Die Kindergartenlehrerin befahl der Krankenschwester.
Police Officer,Flight Attendant,told,neutral,male,female,The police officer told the flight attendant.,first,Der Polizist sagte der Flugbegleiterin.
Nurse,Nurse,described to,neutral,female,female,The nurse described to the nurse.,first,Die Krankenschwester beschrieb der Krankenschwester.
Nurse,Nurse,ordered,dominant,female,female,The nurse ordered the nurse.,first,Die Krankenschwester befahl der Krankenschwester.
Social Worker,Speech Therapist,cried in front of,caring,female,female,The social worker cried in front of the speech therapist.,first,Die Sozialarbeiterin weinte vor dem Logopäden.
Administrative Assistant,Flight Attendant,supported,caring,female,female,The administrative assistant supported the flight attendant.,first,Die Verwaltungsangestellte unterstützte die Flugbegleiterin.
Car Mechanic,Social Worker,cared for,caring,male,female,The car mechanic cared for the social worker.,first,Der Kfz-Mechaniker kümmerte sich um die Sozialarbeiterin.
Civil Engineer,Librarian,cried in front of,caring,male,female,The civil engineer cried in front of the librarian.,first,Der Bauingenieur weinte vor der Bibliothekarin.
Car Mechanic,Flight Attendant,described to,neutral,male,female,The car mechanic described to the flight attendant.,first,Der Kfz-Mechaniker beschrieb der Flugbegleiterin.
Car Mechanic,HR Specialist,supported,caring,male,female,The car mechanic supported the hr specialist.,first,Der Kfz-Mechaniker unterstützte die Personalreferentin.
Civil Engineer,Speech Therapist,explained to,neutral,male,female,The civil engineer explained to the speech therapist.,first,Der Bauingenieur erklärte dem Logopäden.
Flight Attendant,Plumber,informed,neutral,female,male,The flight attendant informed the plumber.,first,Die Flugbegleiterin informierte den Klempner.
Dental Hygienist,Speech Therapist,told,neutral,female,female,The dental hygienist told the speech therapist.,first,Die Dentalhygienikerin sagte dem Logopäden.
Truck Driver,Administrative Assistant,nurtured,caring,male,female,The truck driver nurtured the administrative assistant.,first,Der Lkw-Fahrer pflegte die Verwaltungsangestellte.
Construction Worker,Electrician,comforted,caring,male,male,The construction worker comforted the electrician.,first,Der Bauarbeiter tröstete den Elektriker.
Dental Hygienist,Truck Driver,cried in front of,caring,female,male,The dental hygienist cried in front of the truck driver.,first,Die Dentalhygienikerin weinte vor dem Lkw-Fahrer.
Primary School Teacher,Flight Attendant,commanded,dominant,female,female,The primary school teacher commanded the flight attendant.,first,Die Grundschullehrerin befahl der Flugbegleiterin.
